# wav,red,green,blue
350,0.027500,0.015000,0.000000
355,0.035649,0.016097,0.000746
360,0.043521,0.017376,0.001681
365,0.049361,0.019181,0.003785
370,0.052130,0.021128,0.008724
375,0.051659,0.022980,0.020654
380,0.048178,0.024697,0.040745
385,0.043645,0.026188,0.076971
390,0.040002,0.027487,0.110758
395,0.037244,0.028591,0.127484
400,0.035124,0.029376,0.141538
405,0.031589,0.029625,0.164782
410,0.027920,0.030015,0.190794
415,0.025437,0.031035,0.210689
420,0.024272,0.033188,0.230062
425,0.023400,0.036022,0.247159
430,0.022708,0.039512,0.264961
435,0.022315,0.043751,0.274736
440,0.022165,0.048281,0.284331
445,0.022179,0.053124,0.298583
450,0.022258,0.058541,0.311922
455,0.023112,0.064674,0.319791
460,0.024653,0.072340,0.323592
465,0.027087,0.085140,0.325339
470,0.030371,0.103539,0.325913
475,0.033784,0.125844,0.326934
480,0.037119,0.146243,0.326820
485,0.037982,0.158487,0.325654
490,0.039476,0.168926,0.323086
495,0.041702,0.189096,0.318512
500,0.045392,0.214368,0.310965
505,0.049619,0.248231,0.299758
510,0.053363,0.288666,0.281403
515,0.055797,0.323613,0.257047
520,0.056740,0.352718,0.225550
525,0.057338,0.380464,0.192341
530,0.057827,0.397926,0.164018
535,0.060261,0.402124,0.137386
540,0.062646,0.401989,0.114351
545,0.064931,0.399085,0.095575
550,0.066918,0.392366,0.077782
555,0.065075,0.377380,0.061122
560,0.062538,0.359966,0.051157
565,0.060455,0.340130,0.042528
570,0.059958,0.319008,0.037387
575,0.064669,0.297668,0.034050
580,0.072356,0.275058,0.032244
585,0.105721,0.253165,0.030978
590,0.141908,0.229768,0.030126
595,0.198677,0.200032,0.029340
600,0.254202,0.168894,0.028218
605,0.285559,0.137885,0.026872
610,0.312768,0.109772,0.025302
615,0.321435,0.087381,0.023867
620,0.323099,0.068459,0.022791
625,0.320691,0.059326,0.022165
630,0.314145,0.053155,0.022165
635,0.304994,0.049189,0.022300
640,0.295015,0.046006,0.022581
645,0.286326,0.043258,0.023131
650,0.277960,0.041410,0.023849
655,0.270947,0.040307,0.024747
660,0.264005,0.040037,0.025925
665,0.256069,0.041607,0.027170
670,0.249521,0.044649,0.028595
675,0.247480,0.048796,0.030244
680,0.244811,0.054135,0.031814
685,0.240266,0.059979,0.033294
690,0.233649,0.066240,0.034764
695,0.226983,0.072938,0.036570
700,0.221759,0.079864,0.038545
705,0.219394,0.086195,0.040336
710,0.216521,0.089832,0.041513
715,0.210888,0.090395,0.041271
720,0.203539,0.088973,0.040596
725,0.197579,0.086539,0.039657
730,0.193621,0.085429,0.039343
735,0.193229,0.085758,0.039798
740,0.192092,0.088113,0.040899
745,0.189746,0.092754,0.042469
750,0.185994,0.097885,0.044265
755,0.185287,0.103306,0.046218
760,0.185894,0.108802,0.048338
765,0.187464,0.113807,0.050864
770,0.189034,0.118117,0.053454
775,0.187496,0.120786,0.056052
780,0.185023,0.123757,0.059871
785,0.183217,0.127558,0.068075
790,0.181750,0.132839,0.078690
795,0.180269,0.139396,0.097676
800,0.178692,0.145495,0.115957
805,0.176022,0.150567,0.134625
810,0.173489,0.154695,0.146504
815,0.171114,0.157835,0.152862
820,0.169073,0.159283,0.154747
825,0.166806,0.159296,0.153856
830,0.164083,0.157412,0.151944
835,0.160471,0.153796,0.150151
840,0.155842,0.149701,0.147422
845,0.151242,0.145462,0.145024
850,0.140846,0.140846,0.142682
855,0.136464,0.136464,0.138777
860,0.132409,0.132409,0.132409
865,0.129268,0.129268,0.129268
870,0.125969,0.125969,0.125969
875,0.122172,0.122172,0.122172
880,0.117085,0.117085,0.117085
885,0.110938,0.110938,0.110938
890,0.104529,0.104529,0.104529
895,0.098688,0.098688,0.098688
900,0.093673,0.093673,0.093673
905,0.089669,0.089669,0.089669
910,0.085665,0.085665,0.085665
915,0.081638,0.081638,0.081638
920,0.077477,0.077477,0.077477
925,0.073202,0.073202,0.073202
930,0.068931,0.068931,0.068931
935,0.064770,0.064770,0.064770
940,0.060541,0.060541,0.060541
945,0.056336,0.056336,0.056336
950,0.052180,0.052180,0.052180
955,0.048411,0.048411,0.048411
960,0.044734,0.044734,0.044734
965,0.041135,0.041135,0.041135
970,0.037602,0.037602,0.037602
975,0.034468,0.034468,0.034468
980,0.031578,0.031578,0.031578
985,0.028909,0.028909,0.028909
990,0.026512,0.026512,0.026512
995,0.024134,0.024134,0.024134
1000,0.021824,0.021824,0.021824
