# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024xny
# CHANNEL = B+R
# EXPNUM = 24_296_018_002
# MJD-OBS = 60605.609277
# DATE-OBS = 2024-10-22T14:37:23
# EXPTIME = 1800.0s
# AIRMASS = 1.25
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 08:58:36.99
# DEC = 24:18:37.00
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.191062e-15 3.970667e-17
3403.480000 1.135292e-15 4.079263e-17
3406.480000 1.088345e-15 3.656431e-17
3409.480000 1.110035e-15 3.467763e-17
3412.480000 1.122056e-15 3.827065e-17
3415.480000 1.086935e-15 3.873722e-17
3418.480000 1.080955e-15 3.470358e-17
3421.480000 1.134083e-15 3.417578e-17
3424.480000 1.073244e-15 3.772016e-17
3427.480000 1.026667e-15 3.731554e-17
3430.480000 1.075034e-15 3.293775e-17
3433.480000 1.146051e-15 3.329260e-17
3436.480000 1.118984e-15 3.673867e-17
3439.480000 1.103277e-15 3.567210e-17
3442.480000 1.095932e-15 3.093095e-17
3445.480000 1.081855e-15 3.160607e-17
3448.480000 1.076173e-15 3.503031e-17
3451.480000 1.099716e-15 3.429338e-17
3454.480000 1.077377e-15 3.086272e-17
3457.480000 1.063487e-15 3.225314e-17
3460.480000 1.093485e-15 3.464407e-17
3463.480000 1.087845e-15 3.250725e-17
3466.480000 1.056790e-15 2.990633e-17
3469.480000 1.017260e-15 3.196819e-17
3472.480000 1.050075e-15 3.352654e-17
3475.480000 1.007112e-15 3.031271e-17
3478.480000 1.006118e-15 2.873018e-17
3481.480000 1.000079e-15 3.210857e-17
3484.480000 1.003909e-15 3.293690e-17
3487.480000 1.036174e-15 2.994636e-17
3490.480000 1.018097e-15 2.875530e-17
3493.480000 1.016711e-15 3.227990e-17
3496.480000 9.693516e-16 3.224705e-17
3499.480000 9.411576e-16 2.835742e-17
3502.480000 9.158314e-16 2.829162e-17
3505.480000 9.068535e-16 3.176508e-17
3508.480000 9.227125e-16 3.132975e-17
3511.480000 8.963210e-16 2.709593e-17
3514.480000 9.055085e-16 2.749119e-17
3517.480000 9.193433e-16 3.033481e-17
3520.480000 9.185895e-16 2.917555e-17
3523.480000 9.272597e-16 2.586847e-17
3526.480000 8.950594e-16 2.666865e-17
3529.480000 8.891157e-16 2.876585e-17
3532.480000 8.938749e-16 2.738606e-17
3535.480000 8.851005e-16 2.514525e-17
3538.480000 8.641756e-16 2.709403e-17
3541.480000 8.624172e-16 2.876651e-17
3544.480000 8.784901e-16 2.708957e-17
3547.480000 8.662491e-16 2.563298e-17
3550.480000 8.675943e-16 2.819220e-17
3553.480000 8.534684e-16 2.895231e-17
3556.480000 8.279936e-16 2.610202e-17
3559.480000 8.502346e-16 2.531159e-17
3562.480000 8.497141e-16 2.853067e-17
3565.480000 8.600890e-16 2.874031e-17
3568.480000 8.192884e-16 2.489058e-17
3571.480000 8.057137e-16 2.437343e-17
3574.480000 8.021401e-16 2.756400e-17
3577.480000 7.912359e-16 2.729364e-17
3580.480000 7.997117e-16 2.377406e-17
3583.480000 7.975612e-16 2.378466e-17
3586.480000 7.802644e-16 2.603152e-17
3589.480000 7.964930e-16 2.545257e-17
3592.480000 8.040306e-16 2.306842e-17
3595.480000 7.991783e-16 2.424597e-17
3598.480000 8.007012e-16 2.625547e-17
3601.480000 8.030376e-16 2.524704e-17
3604.480000 7.973324e-16 2.282463e-17
3607.480000 8.024871e-16 2.413908e-17
3610.480000 7.940632e-16 2.530481e-17
3613.480000 7.956129e-16 2.338202e-17
3616.480000 7.977945e-16 2.209990e-17
3619.480000 7.655978e-16 2.404913e-17
3622.480000 7.468310e-16 2.472696e-17
3625.480000 7.590551e-16 2.294892e-17
3628.480000 7.767170e-16 2.244392e-17
3631.480000 7.699414e-16 2.493479e-17
3634.480000 7.763461e-16 2.532911e-17
3637.480000 7.788858e-16 2.270868e-17
3640.480000 7.894985e-16 2.262832e-17
3643.480000 7.950705e-16 2.582538e-17
3646.480000 8.026380e-16 2.556110e-17
3649.480000 7.896104e-16 2.214485e-17
3652.480000 7.782236e-16 2.244170e-17
3655.480000 8.043195e-16 2.543850e-17
3658.480000 8.261225e-16 2.503100e-17
3661.480000 7.910951e-16 2.223632e-17
3664.480000 7.758309e-16 2.306604e-17
3667.480000 7.800912e-16 2.518732e-17
3670.480000 7.830139e-16 2.474892e-17
3673.480000 8.304236e-16 2.167279e-17
3676.480000 8.603373e-16 2.309873e-17
3679.480000 8.393232e-16 2.419751e-17
3682.480000 8.347192e-16 2.250999e-17
3685.480000 8.688391e-16 2.120700e-17
3688.480000 8.743338e-16 2.316547e-17
3691.480000 8.415604e-16 2.401395e-17
3694.480000 8.270911e-16 2.198903e-17
3697.480000 8.257387e-16 2.111775e-17
3700.480000 8.428887e-16 2.386705e-17
3703.480000 8.722466e-16 2.475969e-17
3706.480000 8.574138e-16 2.186248e-17
3709.480000 8.483791e-16 2.146006e-17
3712.480000 8.555027e-16 2.436812e-17
3715.480000 8.645468e-16 2.462203e-17
3718.480000 8.607892e-16 2.137958e-17
3721.480000 8.576291e-16 2.116525e-17
3724.480000 8.294707e-16 2.352532e-17
3727.480000 8.327465e-16 2.337790e-17
3730.480000 8.430592e-16 2.089358e-17
3733.480000 8.433935e-16 2.145588e-17
3736.480000 8.302735e-16 2.328145e-17
3739.480000 8.305716e-16 2.249445e-17
3742.480000 8.459732e-16 2.076978e-17
3745.480000 8.666840e-16 2.195032e-17
3748.480000 8.566385e-16 2.314524e-17
3751.480000 8.541128e-16 2.178730e-17
3754.480000 8.486194e-16 2.046581e-17
3757.480000 8.569789e-16 2.230053e-17
3760.480000 8.520833e-16 2.323154e-17
3763.480000 8.282915e-16 2.122608e-17
3766.480000 8.263369e-16 2.019427e-17
3769.480000 8.537545e-16 2.272574e-17
3772.480000 8.668820e-16 2.350361e-17
3775.480000 8.524000e-16 2.118489e-17
3778.480000 8.314586e-16 2.064207e-17
3781.480000 8.506297e-16 2.361626e-17
3784.480000 8.694485e-16 2.382132e-17
3787.480000 8.625185e-16 2.070448e-17
3790.480000 8.310414e-16 2.031923e-17
3793.480000 8.295651e-16 2.268584e-17
3796.480000 8.455626e-16 2.229006e-17
3799.480000 8.345728e-16 1.956595e-17
3802.480000 8.387186e-16 2.033195e-17
3805.480000 8.609938e-16 2.260698e-17
3808.480000 8.479399e-16 2.164628e-17
3811.480000 8.564526e-16 1.955558e-17
3814.480000 8.481613e-16 2.039898e-17
3817.480000 8.486776e-16 2.168940e-17
3820.480000 8.450271e-16 2.029932e-17
3823.480000 8.422997e-16 1.856069e-17
3826.480000 8.191934e-16 1.971544e-17
3829.480000 8.256061e-16 2.080075e-17
