# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2026neb
# CHANNEL = B+R
# EXPNUM = 26_174_031_003
# MJD-OBS = 61214.438872
# DATE-OBS = 2026-06-23T10:31:59
# EXPTIME = 1800.0s
# AIRMASS = 1.00
# FLUXCAL_RMS_B = 0.063 mag
# FLUXCAL_RMS_R = 0.071 mag
# RA = 17:56:12.99
# DEC = 18:10:24.09
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 7.685292e-18 2.826604e-17
3403.480000 2.741822e-17 2.984478e-17
3406.480000 1.405252e-17 2.652086e-17
3409.480000 1.332800e-17 2.500782e-17
3412.480000 -4.558852e-19 2.720660e-17
3415.480000 1.598904e-17 2.737045e-17
3418.480000 1.922207e-17 2.447205e-17
3421.480000 7.890836e-18 2.357024e-17
3424.480000 1.862579e-18 2.633671e-17
3427.480000 2.036714e-17 2.664493e-17
3430.480000 1.517065e-17 2.338991e-17
3433.480000 -3.043895e-18 2.269662e-17
3436.480000 1.212093e-17 2.566812e-17
3439.480000 1.997054e-17 2.517027e-17
3442.480000 -7.472292e-18 2.133547e-17
3445.480000 -1.257668e-17 2.093807e-17
3448.480000 6.074277e-18 2.267679e-17
3451.480000 1.163777e-17 2.208796e-17
3454.480000 7.252750e-19 1.991394e-17
3457.480000 -1.918655e-18 2.113019e-17
3460.480000 -1.304528e-17 2.229875e-17
3463.480000 -2.075853e-17 2.144501e-17
3466.480000 5.046686e-18 1.996888e-17
3469.480000 -5.057466e-18 2.022620e-17
3472.480000 -3.642234e-18 2.094895e-17
3475.480000 1.593972e-17 1.904710e-17
3478.480000 -3.660746e-18 1.800421e-17
3481.480000 -2.217267e-17 1.979462e-17
3484.480000 9.796530e-18 2.028569e-17
3487.480000 4.090686e-17 1.861826e-17
3490.480000 4.002789e-17 1.768927e-17
3493.480000 4.574533e-17 1.963017e-17
3496.480000 1.118189e-17 2.022929e-17
3499.480000 4.441015e-18 1.975919e-17
3502.480000 1.459557e-17 1.650219e-17
3505.480000 5.476057e-18 1.901818e-17
3508.480000 -2.650307e-18 1.848323e-17
3511.480000 -2.075318e-18 1.593424e-17
3514.480000 1.216350e-17 1.632324e-17
3517.480000 2.724528e-17 1.813722e-17
3520.480000 1.018990e-17 1.729755e-17
3523.480000 2.973482e-18 1.514604e-17
3526.480000 3.281776e-17 1.598056e-17
3529.480000 1.220446e-17 1.682206e-17
3532.480000 -3.207615e-17 1.529752e-17
3535.480000 -1.590246e-17 1.420044e-17
3538.480000 3.810893e-18 1.545985e-17
3541.480000 9.089835e-18 1.645686e-17
3544.480000 2.287035e-17 1.574093e-17
3547.480000 2.641732e-17 1.592121e-17
3550.480000 1.644202e-17 1.979523e-17
3553.480000 7.409793e-18 1.930462e-17
3556.480000 8.384232e-18 1.517564e-17
3559.480000 9.572536e-18 1.446323e-17
3562.480000 1.380510e-18 1.587070e-17
3565.480000 -9.134334e-18 1.594326e-17
3568.480000 9.172499e-19 1.423218e-17
3571.480000 -1.269143e-17 1.391504e-17
3574.480000 -1.474922e-17 1.548207e-17
3577.480000 -8.860962e-18 1.529032e-17
3580.480000 -1.320426e-18 1.351128e-17
3583.480000 1.402659e-17 1.407935e-17
3586.480000 1.311703e-17 1.536131e-17
3589.480000 2.028173e-17 1.451773e-17
3592.480000 2.520177e-17 1.316310e-17
3595.480000 5.340911e-19 1.389973e-17
3598.480000 -1.022619e-17 1.508980e-17
3601.480000 7.178869e-18 1.450212e-17
3604.480000 2.010040e-17 1.336108e-17
3607.480000 1.584547e-18 1.407651e-17
3610.480000 -7.977196e-18 1.447124e-17
3613.480000 -6.027928e-19 1.338147e-17
3616.480000 -1.249661e-17 1.225677e-17
3619.480000 -1.724475e-17 1.351629e-17
3622.480000 7.354552e-18 1.418536e-17
3625.480000 1.485680e-17 1.280718e-17
3628.480000 3.037335e-18 1.232873e-17
3631.480000 1.132343e-17 1.388459e-17
3634.480000 1.093460e-17 1.411064e-17
3637.480000 2.952023e-18 1.247905e-17
3640.480000 8.933288e-19 1.236757e-17
3643.480000 -2.838291e-18 1.408165e-17
3646.480000 -1.475179e-17 1.381171e-17
3649.480000 1.740367e-17 1.229966e-17
3652.480000 9.999698e-18 1.233523e-17
3655.480000 -1.153958e-18 1.363757e-17
3658.480000 1.310295e-17 1.365818e-17
3661.480000 1.294402e-17 1.232237e-17
3664.480000 2.923823e-17 1.306568e-17
3667.480000 3.253071e-17 1.414537e-17
3670.480000 3.084500e-17 1.348757e-17
3673.480000 2.778093e-17 1.231772e-17
3676.480000 2.683063e-17 1.297317e-17
3679.480000 2.302212e-17 1.367410e-17
3682.480000 8.654330e-18 1.256480e-17
3685.480000 -4.776005e-18 1.153083e-17
3688.480000 2.992499e-18 1.261917e-17
3691.480000 5.905402e-18 1.303047e-17
3694.480000 9.958776e-18 1.197030e-17
3697.480000 2.659838e-17 1.163593e-17
3700.480000 2.346668e-17 1.280313e-17
3703.480000 6.697367e-18 1.299486e-17
3706.480000 9.230846e-18 1.168036e-17
3709.480000 1.567726e-17 1.135352e-17
3712.480000 9.913407e-18 1.280632e-17
3715.480000 1.273959e-17 1.275514e-17
3718.480000 3.224544e-18 1.113973e-17
3721.480000 -8.303598e-18 1.102019e-17
3724.480000 5.243785e-18 1.290477e-17
3727.480000 1.628176e-17 1.284910e-17
3730.480000 -1.782746e-18 1.113028e-17
3733.480000 -9.871818e-18 1.152849e-17
3736.480000 -8.479241e-18 1.247299e-17
3739.480000 2.051079e-17 1.208169e-17
3742.480000 3.014033e-17 1.120872e-17
3745.480000 2.356965e-17 1.194689e-17
3748.480000 -2.468834e-18 1.254987e-17
3751.480000 -2.156419e-18 1.145564e-17
3754.480000 2.245323e-18 1.062161e-17
3757.480000 2.000017e-17 1.170438e-17
3760.480000 -6.257433e-18 1.189789e-17
3763.480000 -9.672846e-18 1.079316e-17
3766.480000 1.355897e-17 1.038460e-17
3769.480000 1.171765e-17 1.148461e-17
3772.480000 9.851448e-18 1.168046e-17
3775.480000 1.775921e-17 1.065574e-17
3778.480000 2.531548e-17 1.065307e-17
3781.480000 2.011978e-17 1.186042e-17
3784.480000 8.503085e-18 1.179984e-17
3787.480000 7.946866e-18 1.032228e-17
3790.480000 1.494273e-17 1.031986e-17
3793.480000 1.474431e-17 1.161346e-17
3796.480000 1.607372e-17 1.143185e-17
3799.480000 8.737795e-19 9.919154e-18
3802.480000 -9.813788e-18 1.005889e-17
3805.480000 -6.507627e-18 1.116904e-17
3808.480000 -3.540053e-18 1.085707e-17
3811.480000 7.315505e-18 9.971809e-18
3814.480000 1.930798e-17 1.065479e-17
3817.480000 2.656589e-17 1.156369e-17
3820.480000 2.332063e-17 1.092169e-17
3823.480000 2.721652e-17 1.011402e-17
3826.480000 3.042512e-17 1.097946e-17
3829.480000 3.398790e-17 1.156859e-17
3832.480000 4.190819e-17 1.081402e-17
3835.480000 2.841000e-17 1.020289e-17
3838.480000 2.255934e-17 1.125338e-17
3841.480000 2.288895e-17 1.161559e-17
3844.480000 1.201681e-17 1.036800e-17
3847.480000 3.270356e-17 1.028681e-17
3850.480000 2.833537e-17 1.155058e-17
3853.480000 6.316710e-18 1.159722e-17
3856.480000 1.177331e-18 1.010330e-17
3859.480000 -3.145905e-18 1.004587e-17
3862.480000 2.515277e-18 1.145232e-17
3865.480000 1.035302e-18 1.110521e-17
3868.480000 8.774398e-18 9.853313e-18
3871.480000 7.390358e-18 1.011836e-17
3874.480000 7.732237e-18 1.096670e-17
3877.480000 2.868048e-19 1.067529e-17
3880.480000 -5.546597e-18 9.505700e-18
3883.480000 -4.422834e-19 1.006053e-17
3886.480000 1.029436e-17 1.081963e-17
3889.480000 3.449195e-18 1.006838e-17
3892.480000 -4.741798e-18 9.161731e-18
3895.480000 -1.608187e-18 1.002850e-17
3898.480000 1.318402e-17 1.067958e-17
3901.480000 1.390698e-17 9.946667e-18
3904.480000 1.774727e-17 9.428847e-18
3907.480000 1.439075e-17 1.043251e-17
3910.480000 1.098709e-17 1.076640e-17
3913.480000 2.350696e-17 9.864700e-18
3916.480000 1.558252e-17 9.438694e-18
3919.480000 4.009223e-18 1.032756e-17
3922.480000 6.823859e-18 1.037384e-17
3925.480000 5.312377e-18 9.099388e-18
3928.480000 8.118150e-18 9.032491e-18
3931.480000 6.559830e-18 1.004378e-17
3934.480000 3.488040e-18 9.935216e-18
3937.480000 1.604870e-17 9.100382e-18
3940.480000 1.428235e-17 9.118801e-18
3943.480000 8.511879e-18 1.051674e-17
3946.480000 2.972970e-17 1.046354e-17
3949.480000 3.075923e-17 9.186905e-18
3952.480000 4.098986e-17 9.613334e-18
3955.480000 2.587920e-17 1.018418e-17
3958.480000 2.618735e-17 9.780571e-18
3961.480000 3.101806e-17 8.953452e-18
3964.480000 1.736823e-17 9.422549e-18
3967.480000 2.753373e-17 9.974018e-18
3970.480000 3.793637e-17 9.332145e-18
3973.480000 3.686342e-17 8.756785e-18
3976.480000 3.879132e-17 9.812551e-18
3979.480000 2.245580e-17 1.025268e-17
3982.480000 3.333637e-17 9.603020e-18
3985.480000 2.723247e-17 9.230867e-18
3988.480000 3.133184e-17 1.042547e-17
