# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2026twa
# CHANNEL = B+R
# EXPNUM = 26_194_033_003
# MJD-OBS = 61234.452101
# DATE-OBS = 2026-07-13T10:51:02
# EXPTIME = 1800.0s
# AIRMASS = 1.60
# FLUXCAL_RMS_B = 0.063 mag
# FLUXCAL_RMS_R = 0.071 mag
# RA = 19:27:03.49
# DEC = -31:23:24.20
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 -4.433016e-18 2.366689e-17
3403.480000 2.672366e-17 2.484752e-17
3406.480000 4.683869e-17 2.243863e-17
3409.480000 4.358643e-17 2.102619e-17
3412.480000 5.443106e-17 2.346781e-17
3415.480000 2.882513e-17 2.372705e-17
3418.480000 2.690118e-17 2.117054e-17
3421.480000 3.115871e-17 2.126251e-17
3424.480000 3.903023e-17 2.439464e-17
3427.480000 5.780638e-17 2.355559e-17
3430.480000 6.898237e-17 2.050401e-17
3433.480000 7.409175e-17 2.069199e-17
3436.480000 5.903106e-17 2.301133e-17
3439.480000 5.834276e-17 2.193613e-17
3442.480000 3.234710e-17 1.891046e-17
3445.480000 6.325935e-17 1.937439e-17
3448.480000 5.846117e-17 2.102986e-17
3451.480000 3.701095e-17 1.969614e-17
3454.480000 1.362115e-17 1.769424e-17
3457.480000 -2.374924e-20 1.850128e-17
3460.480000 5.931327e-18 1.965985e-17
3463.480000 1.080181e-17 1.837568e-17
3466.480000 3.669203e-17 1.688915e-17
3469.480000 5.698479e-17 1.820670e-17
3472.480000 4.592667e-17 1.881252e-17
3475.480000 3.743533e-17 1.720567e-17
3478.480000 2.911184e-17 1.613263e-17
3481.480000 1.721898e-17 1.797046e-17
3484.480000 2.168614e-17 1.872296e-17
3487.480000 4.885050e-17 1.716273e-17
3490.480000 4.425277e-17 1.640942e-17
3493.480000 9.909209e-18 1.799425e-17
3496.480000 2.606323e-17 1.779711e-17
3499.480000 6.019661e-19 1.528185e-17
3502.480000 3.339283e-18 1.498112e-17
3505.480000 1.535324e-17 1.673333e-17
3508.480000 2.205104e-17 1.653416e-17
3511.480000 2.862045e-17 1.470090e-17
3514.480000 2.059916e-17 1.487784e-17
3517.480000 3.658143e-17 1.629654e-17
3520.480000 1.951168e-17 1.544656e-17
3523.480000 2.297091e-17 1.372706e-17
3526.480000 3.626798e-17 1.440598e-17
3529.480000 2.134734e-17 1.539276e-17
3532.480000 1.828035e-17 1.438462e-17
3535.480000 3.687729e-17 1.319978e-17
3538.480000 1.712774e-17 1.396978e-17
3541.480000 3.417278e-18 1.480570e-17
3544.480000 -3.690218e-18 1.408048e-17
3547.480000 2.236765e-17 1.385278e-17
3550.480000 4.435005e-17 1.535463e-17
3553.480000 1.914257e-17 1.559995e-17
3556.480000 1.879845e-17 1.404839e-17
3559.480000 2.824259e-17 1.357690e-17
3562.480000 1.859631e-17 1.504883e-17
3565.480000 1.882261e-17 1.488813e-17
3568.480000 1.990580e-17 1.295152e-17
3571.480000 3.634566e-17 1.288072e-17
3574.480000 4.340529e-17 1.454788e-17
3577.480000 2.343060e-17 1.417592e-17
3580.480000 4.906359e-18 1.219258e-17
