# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2026twd
# CHANNEL = B+R
# EXPNUM = 26_194_049_003
# MJD-OBS = 61234.593987
# DATE-OBS = 2026-07-13T14:15:21
# EXPTIME = 1800.0s
# AIRMASS = 1.07
# FLUXCAL_RMS_B = 0.063 mag
# FLUXCAL_RMS_R = 0.071 mag
# RA = 00:48:47.96
# DEC = 22:54:34.18
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 6.562811e-16 3.418141e-17
3403.480000 6.290983e-16 3.509293e-17
3406.480000 5.527407e-16 3.134685e-17
3409.480000 5.887103e-16 2.987117e-17
3412.480000 6.187008e-16 3.323654e-17
3415.480000 6.094780e-16 3.364091e-17
3418.480000 6.198347e-16 3.023781e-17
3421.480000 6.223168e-16 2.932173e-17
3424.480000 6.123182e-16 3.274480e-17
3427.480000 5.938039e-16 3.239138e-17
3430.480000 5.992545e-16 2.791629e-17
3433.480000 6.087466e-16 2.756999e-17
3436.480000 6.152195e-16 3.075571e-17
3439.480000 6.155779e-16 3.006628e-17
3442.480000 6.254237e-16 2.632994e-17
3445.480000 5.901814e-16 2.637625e-17
3448.480000 5.928843e-16 2.876858e-17
3451.480000 5.572786e-16 2.738674e-17
3454.480000 5.331580e-16 2.480778e-17
3457.480000 5.904537e-16 2.626786e-17
3460.480000 6.064466e-16 2.806968e-17
3463.480000 5.841500e-16 2.589392e-17
3466.480000 5.640565e-16 2.367957e-17
3469.480000 5.722211e-16 2.540895e-17
3472.480000 5.622730e-16 2.662497e-17
3475.480000 5.675520e-16 2.443938e-17
3478.480000 5.865276e-16 2.297087e-17
3481.480000 5.775319e-16 2.525483e-17
3484.480000 5.608337e-16 2.588242e-17
3487.480000 5.341353e-16 2.283746e-17
3490.480000 5.234695e-16 2.189401e-17
3493.480000 5.284684e-16 2.455347e-17
3496.480000 5.160464e-16 2.456780e-17
3499.480000 5.056694e-16 2.132534e-17
3502.480000 5.148471e-16 2.102989e-17
3505.480000 5.365664e-16 2.368083e-17
3508.480000 5.192851e-16 2.330019e-17
3511.480000 5.493912e-16 2.074708e-17
3514.480000 5.242975e-16 2.077693e-17
3517.480000 4.617865e-16 2.211929e-17
3520.480000 5.011206e-16 2.154234e-17
3523.480000 4.987967e-16 1.915599e-17
3526.480000 5.155681e-16 2.011705e-17
3529.480000 5.170439e-16 2.166309e-17
3532.480000 5.228692e-16 2.062530e-17
3535.480000 5.249919e-16 1.900605e-17
3538.480000 5.083314e-16 2.033540e-17
3541.480000 4.762290e-16 2.119172e-17
3544.480000 4.670738e-16 1.974840e-17
3547.480000 4.608913e-16 1.865675e-17
3550.480000 4.611131e-16 2.044070e-17
3553.480000 4.578322e-16 2.097714e-17
3556.480000 4.582210e-16 1.893685e-17
3559.480000 4.679398e-16 1.826980e-17
3562.480000 4.686642e-16 2.045089e-17
3565.480000 4.703154e-16 2.055163e-17
3568.480000 4.489447e-16 1.805359e-17
3571.480000 4.388632e-16 1.802015e-17
3574.480000 4.597202e-16 2.047037e-17
3577.480000 5.094737e-16 2.075358e-17
3580.480000 4.957472e-16 1.809636e-17
3583.480000 4.914101e-16 1.827331e-17
3586.480000 5.312867e-16 2.059941e-17
3589.480000 5.374289e-16 2.048032e-17
3592.480000 5.326419e-16 1.824427e-17
3595.480000 5.140429e-16 1.859971e-17
3598.480000 5.085672e-16 1.969233e-17
3601.480000 4.929122e-16 1.859550e-17
3604.480000 4.860456e-16 1.676555e-17
3607.480000 4.928061e-16 1.808640e-17
3610.480000 4.863492e-16 1.908369e-17
