# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2026vbs
# CHANNEL = B+R
# EXPNUM = 26_204_027_003
# MJD-OBS = 61244.437541
# DATE-OBS = 2026-07-23T10:30:04
# EXPTIME = 1500.0s
# AIRMASS = 1.74
# FLUXCAL_RMS_B = 0.063 mag
# FLUXCAL_RMS_R = 0.071 mag
# RA = 19:21:54.58
# DEC = -34:03:08.56
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.096706e-16 2.261350e-17
3403.480000 9.406282e-17 2.287943e-17
3406.480000 6.243307e-17 2.051760e-17
3409.480000 4.505646e-17 1.909949e-17
3412.480000 3.925161e-17 2.109773e-17
3415.480000 3.750329e-17 2.148311e-17
3418.480000 2.327901e-17 1.935707e-17
3421.480000 1.365166e-17 1.883511e-17
3424.480000 2.509437e-17 2.119694e-17
3427.480000 7.579429e-17 2.186721e-17
3430.480000 6.238424e-17 1.883891e-17
3433.480000 6.056944e-17 1.885218e-17
3436.480000 6.944798e-17 2.082269e-17
3439.480000 6.907092e-17 2.053799e-17
3442.480000 7.446930e-17 1.816769e-17
3445.480000 8.262410e-17 1.844089e-17
3448.480000 2.014028e-17 1.962424e-17
3451.480000 5.037084e-17 1.935598e-17
3454.480000 5.997978e-17 1.749245e-17
3457.480000 6.657531e-17 1.857920e-17
3460.480000 8.724024e-17 1.985660e-17
3463.480000 4.746261e-17 1.825339e-17
3466.480000 7.201675e-17 1.690332e-17
3469.480000 6.447097e-17 1.822797e-17
3472.480000 8.160634e-17 1.915723e-17
3475.480000 6.832694e-17 1.781130e-17
3478.480000 5.473461e-17 1.672238e-17
3481.480000 6.532081e-17 1.858461e-17
3484.480000 7.517123e-17 1.935940e-17
3487.480000 4.624095e-17 1.741236e-17
3490.480000 2.174465e-17 1.670163e-17
3493.480000 5.030816e-17 1.875562e-17
3496.480000 5.796671e-17 1.876297e-17
3499.480000 7.548140e-17 1.654138e-17
3502.480000 7.343661e-17 1.652340e-17
3505.480000 6.061917e-17 1.850226e-17
3508.480000 9.987349e-17 1.855684e-17
3511.480000 8.097415e-17 1.628655e-17
3514.480000 7.805384e-17 1.681008e-17
3517.480000 7.218183e-17 1.858244e-17
3520.480000 5.223117e-17 1.767405e-17
3523.480000 8.049088e-17 1.603854e-17
3526.480000 9.931522e-17 1.677185e-17
3529.480000 6.976027e-17 1.773574e-17
3532.480000 9.175986e-17 1.707025e-17
3535.480000 7.472351e-17 1.544485e-17
3538.480000 7.705979e-17 1.653455e-17
3541.480000 5.182163e-17 1.723220e-17
3544.480000 6.703847e-17 1.637372e-17
3547.480000 7.434441e-17 1.561742e-17
3550.480000 7.523414e-17 1.701913e-17
3553.480000 7.840438e-17 1.751248e-17
3556.480000 6.449409e-17 1.581797e-17
3559.480000 5.086398e-17 1.528434e-17
3562.480000 5.784600e-17 1.718428e-17
3565.480000 5.097095e-17 1.736114e-17
3568.480000 6.283515e-17 1.540299e-17
3571.480000 9.421290e-17 1.534170e-17
3574.480000 8.594941e-17 1.723510e-17
3577.480000 8.793352e-17 1.731427e-17
3580.480000 9.117344e-17 1.520676e-17
3583.480000 6.752177e-17 1.511629e-17
3586.480000 8.275000e-17 1.697409e-17
3589.480000 9.599283e-17 1.666558e-17
3592.480000 7.759666e-17 1.476197e-17
3595.480000 7.611017e-17 1.549711e-17
3598.480000 1.085232e-16 1.702551e-17
3601.480000 1.068638e-16 1.617364e-17
3604.480000 1.123831e-16 1.476691e-17
3607.480000 1.235449e-16 1.568736e-17
3610.480000 9.489305e-17 1.631963e-17
3613.480000 1.073161e-16 1.533091e-17
3616.480000 1.136823e-16 1.447487e-17
3619.480000 1.251751e-16 1.599716e-17
3622.480000 1.031958e-16 1.643219e-17
3625.480000 1.037716e-16 1.492149e-17
3628.480000 1.195628e-16 1.446662e-17
3631.480000 1.319423e-16 1.637706e-17
3634.480000 1.118658e-16 1.635321e-17
3637.480000 1.124392e-16 1.464705e-17
3640.480000 1.328119e-16 1.471448e-17
3643.480000 1.569604e-16 1.698710e-17
3646.480000 1.551981e-16 1.684663e-17
3649.480000 1.342638e-16 1.455301e-17
3652.480000 1.274158e-16 1.470539e-17
3655.480000 1.262259e-16 1.642306e-17
3658.480000 1.278543e-16 1.612474e-17
3661.480000 1.323324e-16 1.451026e-17
3664.480000 1.415418e-16 1.513255e-17
3667.480000 1.584085e-16 1.649626e-17
3670.480000 1.663733e-16 1.578408e-17
3673.480000 1.638897e-16 1.424539e-17
3676.480000 1.492921e-16 1.498366e-17
3679.480000 1.555235e-16 1.579162e-17
3682.480000 1.535720e-16 1.478946e-17
3685.480000 1.823386e-16 1.393443e-17
3688.480000 1.816613e-16 1.520860e-17
3691.480000 1.729447e-16 1.562126e-17
3694.480000 1.600173e-16 1.427920e-17
3697.480000 1.646389e-16 1.372918e-17
3700.480000 1.591545e-16 1.531603e-17
3703.480000 1.688193e-16 1.592397e-17
3706.480000 1.771295e-16 1.417711e-17
3709.480000 1.610137e-16 1.368700e-17
3712.480000 1.675818e-16 1.569195e-17
3715.480000 1.572736e-16 1.564397e-17
3718.480000 1.603866e-16 1.375657e-17
3721.480000 1.514218e-16 1.380216e-17
3724.480000 1.628850e-16 1.552551e-17
3727.480000 1.676637e-16 1.558006e-17
3730.480000 1.337878e-16 1.427502e-17
3733.480000 1.240762e-16 1.409046e-17
3736.480000 1.286311e-16 1.530258e-17
3739.480000 1.256132e-16 1.474516e-17
3742.480000 1.460385e-16 1.369293e-17
3745.480000 1.744995e-16 1.475033e-17
3748.480000 1.644423e-16 1.557605e-17
3751.480000 1.392312e-16 1.443015e-17
3754.480000 1.313060e-16 1.331247e-17
3757.480000 1.483733e-16 1.478262e-17
3760.480000 1.429922e-16 1.544593e-17
3763.480000 1.434968e-16 1.409524e-17
3766.480000 1.423835e-16 1.336261e-17
3769.480000 1.249904e-16 1.465374e-17
3772.480000 1.246957e-16 1.511400e-17
3775.480000 1.052551e-16 1.354727e-17
3778.480000 1.127983e-16 1.334589e-17
3781.480000 1.250950e-16 1.518461e-17
3784.480000 1.098869e-16 1.521126e-17
3787.480000 1.093723e-16 1.329636e-17
3790.480000 1.127833e-16 1.323402e-17
3793.480000 1.272271e-16 1.494533e-17
3796.480000 1.260278e-16 1.465441e-17
3799.480000 1.461479e-16 1.310241e-17
3802.480000 1.425144e-16 1.340672e-17
3805.480000 1.276664e-16 1.456006e-17
3808.480000 1.102051e-16 1.407106e-17
3811.480000 9.909214e-17 1.261501e-17
3814.480000 1.028544e-16 1.333535e-17
3817.480000 1.069400e-16 1.422773e-17
3820.480000 1.016030e-16 1.347206e-17
3823.480000 9.566381e-17 1.234243e-17
3826.480000 1.113180e-16 1.326342e-17
3829.480000 7.594795e-17 1.364572e-17
3832.480000 6.990640e-17 1.250889e-17
3835.480000 9.262598e-17 1.203117e-17
3838.480000 7.698284e-17 1.308203e-17
3841.480000 9.819580e-17 1.345101e-17
3844.480000 7.142974e-17 1.218552e-17
3847.480000 4.994163e-17 1.172288e-17
3850.480000 3.046477e-17 1.316619e-17
3853.480000 6.319035e-17 1.337449e-17
3856.480000 7.275317e-17 1.158687e-17
3859.480000 5.844118e-17 1.156146e-17
3862.480000 6.341858e-17 1.298092e-17
3865.480000 4.300123e-17 1.275343e-17
3868.480000 3.765147e-17 1.128120e-17
3871.480000 3.462726e-17 1.152908e-17
3874.480000 3.280120e-17 1.270941e-17
3877.480000 5.470185e-17 1.238612e-17
3880.480000 6.192500e-17 1.129491e-17
3883.480000 5.256230e-17 1.178074e-17
3886.480000 4.688180e-17 1.277701e-17
3889.480000 3.988686e-17 1.208743e-17
3892.480000 4.879239e-17 1.130442e-17
3895.480000 4.807245e-17 1.243892e-17
3898.480000 3.700205e-17 1.314632e-17
3901.480000 2.745216e-17 1.219739e-17
3904.480000 3.796327e-17 1.160552e-17
3907.480000 4.282076e-17 1.279674e-17
3910.480000 4.147478e-17 1.326485e-17
3913.480000 5.056894e-17 1.220743e-17
3916.480000 6.342591e-17 1.191098e-17
3919.480000 6.403339e-17 1.327711e-17
3922.480000 7.604405e-17 1.334511e-17
3925.480000 8.659212e-17 1.179510e-17
3928.480000 8.700272e-17 1.159664e-17
3931.480000 7.497600e-17 1.285968e-17
3934.480000 8.676808e-17 1.269803e-17
3937.480000 8.571699e-17 1.118047e-17
3940.480000 7.568512e-17 1.137188e-17
3943.480000 8.561066e-17 1.289774e-17
3946.480000 9.979869e-17 1.283210e-17
3949.480000 1.091217e-16 1.166605e-17
3952.480000 1.149809e-16 1.232602e-17
3955.480000 1.132221e-16 1.360942e-17
3958.480000 1.228670e-16 1.305072e-17
3961.480000 1.288134e-16 1.185318e-17
3964.480000 1.252094e-16 1.269117e-17
3967.480000 1.593838e-16 1.347400e-17
3970.480000 1.444871e-16 1.245729e-17
3973.480000 1.326379e-16 1.157898e-17
3976.480000 1.388863e-16 1.301553e-17
3979.480000 1.604589e-16 1.369840e-17
3982.480000 1.535105e-16 1.253176e-17
3985.480000 1.533284e-16 1.217594e-17
3988.480000 1.565401e-16 1.363743e-17
3991.480000 1.533648e-16 1.383470e-17
3994.480000 1.726322e-16 1.252248e-17
3997.480000 1.519639e-16 1.235899e-17
4000.480000 1.548646e-16 1.414744e-17
4003.480000 1.785784e-16 1.441735e-17
4006.480000 1.600047e-16 1.272058e-17
4009.480000 1.404861e-16 1.302157e-17
4012.480000 1.455663e-16 1.488896e-17
4015.480000 1.803238e-16 1.503600e-17
4018.480000 2.036913e-16 1.364696e-17
4021.480000 2.393299e-16 1.446011e-17
4024.480000 2.282161e-16 1.567155e-17
4027.480000 2.327261e-16 1.493729e-17
4030.480000 2.396781e-16 1.348594e-17
4033.480000 2.495488e-16 1.432965e-17
4036.480000 2.453704e-16 1.508236e-17
